[INFO ] [2024-06-27 15:23:14,146] Upload - Step 17: Verify image display File Two
[INFO ] [2024-06-27 15:23:14,186] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:23:14,187] Upload - Step 18: Verify image display File Three
[INFO ] [2024-06-27 15:23:14,234] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:23:14,235] Upload - Step 19: Verify image display File Four
[INFO ] [2024-06-27 15:23:14,270] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:23:14,270] Upload - Step 20: Verify image display File Five
[INFO ] [2024-06-27 15:23:14,304] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:23:14,304] Upload - Step 21: Verify image display File Six
[INFO ] [2024-06-27 15:23:14,339] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:39:42,570] Upload - Step 01: Load single file
[INFO ] [2024-06-27 15:39:45,649] Upload - Step 02: Verify
[INFO ] [2024-06-27 15:39:45,711] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:39:45,712] Upload - Step 03: Click To star button
[INFO ] [2024-06-27 15:39:46,007] Upload - Step 04: Verify upload
[INFO ] [2024-06-27 15:39:47,686] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:39:47,686] Upload - Step 05: Verify image displayd
[INFO ] [2024-06-27 15:39:48,265] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:39:48,270] Upload - Step 01: Refresh page
[INFO ] [2024-06-27 15:39:49,260] Upload - Step 02: Load single file
[INFO ] [2024-06-27 15:39:52,312] Upload - Step 03: Verify File One
[INFO ] [2024-06-27 15:39:52,354] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:39:52,354] Upload - Step 04: Verify File Two
[INFO ] [2024-06-27 15:39:52,395] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:39:52,395] Upload - Step 05: Verify File Three
[INFO ] [2024-06-27 15:39:52,440] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:39:52,440] Upload - Step 06: Verify File Four
[INFO ] [2024-06-27 15:39:52,480] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:39:52,481] Upload - Step 07: Verify File Five
[INFO ] [2024-06-27 15:39:52,517] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:39:52,517] Upload - Step 08: Verify File Six
[INFO ] [2024-06-27 15:39:52,558] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:39:52,558] Upload - Step 09: Click To star button
[INFO ] [2024-06-27 15:39:54,029] Upload - Step 10: Verify upload File One
[INFO ] [2024-06-27 15:39:54,958] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:39:54,958] Upload - Step 11: Verify upload File Two
[INFO ] [2024-06-27 15:39:55,666] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:39:55,666] Upload - Step 12: Verify upload File Three
[INFO ] [2024-06-27 15:39:55,710] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:39:55,710] Upload - Step 13: Verify upload File Four
[INFO ] [2024-06-27 15:39:55,752] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:39:55,752] Upload - Step 14: Verify upload File Five
[INFO ] [2024-06-27 15:39:55,795] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:39:55,796] Upload - Step 15: Verify upload File Six
[INFO ] [2024-06-27 15:39:57,814] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:39:57,814] Upload - Step 16: Verify image display File One
[INFO ] [2024-06-27 15:39:57,847] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:39:57,847] Upload - Step 17: Verify image display File Two
[INFO ] [2024-06-27 15:39:57,878] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:39:57,878] Upload - Step 18: Verify image display File Three
[INFO ] [2024-06-27 15:39:57,907] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:39:57,908] Upload - Step 19: Verify image display File Four
[INFO ] [2024-06-27 15:39:57,932] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:39:57,932] Upload - Step 20: Verify image display File Five
[INFO ] [2024-06-27 15:39:57,960] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:39:57,961] Upload - Step 21: Verify image display File Six
[INFO ] [2024-06-27 15:39:57,984] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:40:03,142] Upload - Step 01: Load single file
[INFO ] [2024-06-27 15:40:06,224] Upload - Step 02: Verify
[INFO ] [2024-06-27 15:40:06,293] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:40:06,293] Upload - Step 03: Click To star button
[INFO ] [2024-06-27 15:40:06,393] Upload - Step 04: Verify upload
[INFO ] [2024-06-27 15:40:08,423] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:40:08,423] Upload - Step 05: Verify image displayd
[INFO ] [2024-06-27 15:40:09,085] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:40:09,088] Upload - Step 01: Refresh page
[INFO ] [2024-06-27 15:40:09,257] Upload - Step 02: Load single file
[INFO ] [2024-06-27 15:40:12,319] Upload - Step 03: Verify File One
[INFO ] [2024-06-27 15:40:12,388] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:40:12,388] Upload - Step 04: Verify File Two
[INFO ] [2024-06-27 15:40:12,446] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:40:12,446] Upload - Step 05: Verify File Three
[INFO ] [2024-06-27 15:40:12,498] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:40:12,498] Upload - Step 06: Verify File Four
[INFO ] [2024-06-27 15:40:12,554] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:40:12,555] Upload - Step 07: Verify File Five
[INFO ] [2024-06-27 15:40:12,612] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:40:12,612] Upload - Step 08: Verify File Six
[INFO ] [2024-06-27 15:40:12,671] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:40:12,672] Upload - Step 09: Click To star button
[INFO ] [2024-06-27 15:40:13,109] Upload - Step 10: Verify upload File One
[INFO ] [2024-06-27 15:40:14,747] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:40:14,747] Upload - Step 11: Verify upload File Two
[INFO ] [2024-06-27 15:40:15,079] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:40:15,080] Upload - Step 12: Verify upload File Three
[INFO ] [2024-06-27 15:40:15,148] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:40:15,151] Upload - Step 13: Verify upload File Four
[INFO ] [2024-06-27 15:40:15,215] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:40:15,215] Upload - Step 14: Verify upload File Five
[INFO ] [2024-06-27 15:40:15,291] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:40:15,291] Upload - Step 15: Verify upload File Six
[INFO ] [2024-06-27 15:40:15,921] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:40:15,921] Upload - Step 16: Verify image display File One
[INFO ] [2024-06-27 15:40:15,961] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:40:15,961] Upload - Step 17: Verify image display File Two
[INFO ] [2024-06-27 15:40:16,012] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:40:16,012] Upload - Step 18: Verify image display File Three
[INFO ] [2024-06-27 15:40:16,058] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:40:16,058] Upload - Step 19: Verify image display File Four
[INFO ] [2024-06-27 15:40:16,103] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:40:16,103] Upload - Step 20: Verify image display File Five
[INFO ] [2024-06-27 15:40:16,152] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:40:16,152] Upload - Step 21: Verify image display File Six
[INFO ] [2024-06-27 15:40:16,197] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:22,255] Upload - Step 01: Load single file
[INFO ] [2024-06-27 20:27:25,358] Upload - Step 02: Verify
[INFO ] [2024-06-27 20:27:25,430] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:25,430] Upload - Step 03: Click To star button
[INFO ] [2024-06-27 20:27:25,739] Upload - Step 04: Verify upload
[INFO ] [2024-06-27 20:27:27,382] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:27,382] Upload - Step 05: Verify image displayd
[INFO ] [2024-06-27 20:27:27,965] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:27,975] Upload - Step 01: Refresh page
[INFO ] [2024-06-27 20:27:30,670] Upload - Step 02: Load single file
[INFO ] [2024-06-27 20:27:33,710] Upload - Step 03: Verify File One
[INFO ] [2024-06-27 20:27:33,749] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:33,749] Upload - Step 04: Verify File Two
[INFO ] [2024-06-27 20:27:33,790] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:33,790] Upload - Step 05: Verify File Three
[INFO ] [2024-06-27 20:27:33,832] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:33,832] Upload - Step 06: Verify File Four
[INFO ] [2024-06-27 20:27:33,869] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:33,869] Upload - Step 07: Verify File Five
[INFO ] [2024-06-27 20:27:33,909] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:33,909] Upload - Step 08: Verify File Six
[INFO ] [2024-06-27 20:27:33,949] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:33,949] Upload - Step 09: Click To star button
[INFO ] [2024-06-27 20:27:35,403] Upload - Step 10: Verify upload File One
[INFO ] [2024-06-27 20:27:36,617] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:36,617] Upload - Step 11: Verify upload File Two
[INFO ] [2024-06-27 20:27:36,864] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:36,865] Upload - Step 12: Verify upload File Three
[INFO ] [2024-06-27 20:27:36,903] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:36,904] Upload - Step 13: Verify upload File Four
[INFO ] [2024-06-27 20:27:36,947] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:36,947] Upload - Step 14: Verify upload File Five
[INFO ] [2024-06-27 20:27:36,983] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:36,984] Upload - Step 15: Verify upload File Six
[INFO ] [2024-06-27 20:27:39,153] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:39,153] Upload - Step 16: Verify image display File One
[INFO ] [2024-06-27 20:27:39,193] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:39,194] Upload - Step 17: Verify image display File Two
